Sample Name	Protocol REF	Comment[sequencing center]	Parameter Value[sequencing technology]	Parameter Value[library type]	Parameter Value[mean paired end distance]	Unit	Term Source REF	Term Accession Number	Parameter Value[mean read length]	Unit	Term Source REF	Term Accession Number	Comment[Mean Coverage per Sample]	Assay Name	Raw Data File	Comment[Data Repository]	Comment[Data Record Accession]	Comment[Data Record URI]	Comment[location of sequence data on GIAB ftp site]	Factor Value[ancestry]
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 1	SRX1049768 	NCBI Sequence Read Archive	SRX1049768 	http://www.ncbi.nlm.nih.gov/sra/SRX1049768	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 2	SRX1049769	NCBI Sequence Read Archive	SRX1049769	http://www.ncbi.nlm.nih.gov/sra/SRX1049769	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 3	SRX1049770	NCBI Sequence Read Archive	SRX1049770	http://www.ncbi.nlm.nih.gov/sra/SRX1049770	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 4	SRX1049771	NCBI Sequence Read Archive	SRX1049771	http://www.ncbi.nlm.nih.gov/sra/SRX1049771	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 5	SRX1049772	NCBI Sequence Read Archive	SRX1049772	http://www.ncbi.nlm.nih.gov/sra/SRX1049772	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 6	SRX1049773	NCBI Sequence Read Archive	SRX1049773	http://www.ncbi.nlm.nih.gov/sra/SRX1049773	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 7	SRX1049774	NCBI Sequence Read Archive	SRX1049774	http://www.ncbi.nlm.nih.gov/sra/SRX1049774	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 8	SRX1049775	NCBI Sequence Read Archive	SRX1049775	http://www.ncbi.nlm.nih.gov/sra/SRX1049775	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 9	SRX1049776	NCBI Sequence Read Archive	SRX1049776	http://www.ncbi.nlm.nih.gov/sra/SRX1049776	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 10	SRX1049777	NCBI Sequence Read Archive	SRX1049777	http://www.ncbi.nlm.nih.gov/sra/SRX1049777	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
