Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[cell line]	Term Source REF	Term Accession Number	Characteristics[sex]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Material Type	Term Source REF	Term Accession Number	Comment[PGP ID]	Comment[BioSample ID]	Factor Value[ancestry]
CEPH Utah Reference Collection	Homo sapiens	NCBITAXON	NCBITaxon:9606	EBV-LCL cell	BTO	BTO:0003335	female	PATO	PATO:0000383	Participants	GM12878	EBV-LCL cell	BTO	BTO:0003335		SAMN03492678	Caucasian
Coriell Institute for Medical Research	Homo sapiens	NCBITAXON	NCBITaxon:9606	EBV-LCL cell	BTO	BTO:0003335	male	PATO	PATO:0000384	Participants	GM24385	EBV-LCL cell	BTO	BTO:0003335	huAA53E0	SAMN03283347	Ashkenazi Jewish
Coriell Institute for Medical Research	Homo sapiens	NCBITAXON	NCBITaxon:9606	EBV-LCL cell	BTO	BTO:0003335	male	PATO	PATO:0000384	Participants	GM24149	EBV-LCL cell	BTO	BTO:0003335	hu6E4515	SAMN03283345	Ashkenazi Jewish
Coriell Institute for Medical Research	Homo sapiens	NCBITAXON	NCBITaxon:9606	EBV-LCL cell	BTO	BTO:0003335	female	PATO	PATO:0000383	Participants	GM24143	EBV-LCL cell	BTO	BTO:0003335	hu8E87A9	SAMN03283346	Ashkenazi Jewish
Coriell Institute for Medical Research	Homo sapiens	NCBITAXON	NCBITaxon:9606	EBV-LCL cell	BTO	BTO:0003335	male	PATO	PATO:0000384	Participants	GM24631	EBV-LCL cell	BTO	BTO:0003335	hu91BD69	SAMN03283350	Han Chinese
Coriell Institute for Medical Research	Homo sapiens	NCBITAXON	NCBITaxon:9606	EBV-LCL cell	BTO	BTO:0003335	male	PATO	PATO:0000384	Participants	GM24694	EBV-LCL cell	BTO	BTO:0003335	huCA017E	SAMN03283348	Han Chinese
Coriell Institute for Medical Research	Homo sapiens	NCBITAXON	NCBITaxon:9606	EBV-LCL cell	BTO	BTO:0003335	female	PATO	PATO:0000383	Participants	GM24695	EBV-LCL cell	BTO	BTO:0003335	hu38168C	SAMN03283349	Han Chinese
CEPH Utah Reference Collection	Homo sapiens	NCBITAXON	NCBITaxon:9606				female	PATO	PATO:0000383	Participants	HG001	genomic library	ERO	ERO:0000279		SAMN03492678	Caucasian
Coriell Institute for Medical Research	Homo sapiens	NCBITAXON	NCBITaxon:9606				male	PATO	PATO:0000384	Participants	HG002	genomic library	ERO	ERO:0000279	huAA53E0	SAMN03283347	Ashkenazi Jewish
Coriell Institute for Medical Research	Homo sapiens	NCBITAXON	NCBITaxon:9606				male	PATO	PATO:0000384	Participants	HG003	genomic library	ERO	ERO:0000279	hu6E4515	SAMN03283345	Ashkenazi Jewish
Coriell Institute for Medical Research	Homo sapiens	NCBITAXON	NCBITaxon:9606				female	PATO	PATO:0000383	Participants	HG004	genomic library	ERO	ERO:0000279	hu8E87A9	SAMN03283346	Ashkenazi Jewish
Coriell Institute for Medical Research	Homo sapiens	NCBITAXON	NCBITaxon:9606				male	PATO	PATO:0000384	Participants	HG005	genomic library	ERO	ERO:0000279	hu91BD69	SAMN03283350	Han Chinese
